Source,Target,Type,Id,Label,timeset,Weight,book
1,1,Undirected,0,,,3,3
1,0,Undirected,1,,,3,3
1,1,Undirected,2,,,3,3
1,1,Undirected,3,,,3,3
1,1,Undirected,4,,,3,3
1,1,Undirected,5,,,3,3
1,1,Undirected,6,,,7,3
1,1,Undirected,7,,,4,3
2,2,Undirected,8,,,4,3
2,2,Undirected,9,,,5,3
2,2,Undirected,10,,,3,3
2,2,Undirected,11,,,6,3
3,5,Undirected,12,,,4,3
3,3,Undirected,13,,,4,3
3,3,Undirected,14,,,3,3
1,1,Undirected,15,,,3,3
0,0,Undirected,16,,,3,3
4,4,Undirected,17,,,3,3
4,4,Undirected,18,,,16,3
4,4,Undirected,19,,,3,3
4,4,Undirected,20,,,4,3
4,4,Undirected,21,,,11,3
4,4,Undirected,22,,,3,3
4,4,Undirected,23,,,5,3
4,4,Undirected,24,,,3,3
4,4,Undirected,25,,,5,3
4,4,Undirected,26,,,3,3
4,4,Undirected,27,,,36,3
4,4,Undirected,28,,,5,3
4,4,Undirected,29,,,3,3
4,4,Undirected,30,,,5,3
4,0,Undirected,31,,,5,3
4,4,Undirected,32,,,32,3
4,3,Undirected,33,,,9,3
4,4,Undirected,34,,,3,3
0,0,Undirected,35,,,5,3
0,0,Undirected,36,,,3,3
0,0,Undirected,37,,,22,3
0,1,Undirected,38,,,6,3
0,0,Undirected,39,,,9,3
0,0,Undirected,40,,,4,3
0,1,Undirected,41,,,6,3
0,1,Undirected,42,,,10,3
0,5,Undirected,43,,,3,3
5,5,Undirected,44,,,4,3
5,5,Undirected,45,,,3,3
1,1,Undirected,46,,,3,3
1,1,Undirected,47,,,3,3
1,1,Undirected,48,,,4,3
1,1,Undirected,49,,,3,3
1,1,Undirected,50,,,3,3
3,3,Undirected,51,,,4,3
3,3,Undirected,52,,,11,3
3,3,Undirected,53,,,3,3
3,3,Undirected,54,,,4,3
3,3,Undirected,55,,,4,3
1,1,Undirected,56,,,5,3
1,1,Undirected,57,,,6,3
1,1,Undirected,58,,,4,3
4,4,Undirected,59,,,13,3
4,4,Undirected,60,,,22,3
4,4,Undirected,61,,,6,3
4,4,Undirected,62,,,4,3
4,4,Undirected,63,,,4,3
4,3,Undirected,64,,,3,3
1,1,Undirected,65,,,3,3
1,0,Undirected,66,,,3,3
1,1,Undirected,67,,,6,3
1,1,Undirected,68,,,4,3
1,0,Undirected,69,,,3,3
1,1,Undirected,70,,,3,3
3,3,Undirected,71,,,4,3
3,3,Undirected,72,,,4,3
3,3,Undirected,73,,,3,3
6,6,Undirected,74,,,15,3
6,6,Undirected,75,,,4,3
6,6,Undirected,76,,,9,3
6,6,Undirected,77,,,7,3
6,6,Undirected,78,,,3,3
6,6,Undirected,79,,,22,3
6,6,Undirected,80,,,3,3
6,6,Undirected,81,,,6,3
6,6,Undirected,82,,,12,3
4,4,Undirected,83,,,3,3
5,5,Undirected,84,,,25,3
5,5,Undirected,85,,,29,3
5,5,Undirected,86,,,3,3
5,5,Undirected,87,,,3,3
5,5,Undirected,88,,,13,3
5,5,Undirected,89,,,3,3
5,5,Undirected,90,,,7,3
5,5,Undirected,91,,,7,3
0,0,Undirected,92,,,5,3
0,0,Undirected,93,,,3,3
0,5,Undirected,94,,,3,3
0,0,Undirected,95,,,4,3
6,6,Undirected,96,,,23,3
6,7,Undirected,97,,,9,3
6,2,Undirected,98,,,4,3
6,2,Undirected,99,,,3,3
6,1,Undirected,100,,,6,3
6,6,Undirected,101,,,3,3
6,2,Undirected,102,,,6,3
6,2,Undirected,103,,,4,3
6,6,Undirected,104,,,46,3
6,6,Undirected,105,,,9,3
6,1,Undirected,106,,,6,3
6,6,Undirected,107,,,17,3
6,6,Undirected,108,,,25,3
6,6,Undirected,109,,,3,3
6,0,Undirected,110,,,10,3
6,1,Undirected,111,,,10,3
6,4,Undirected,112,,,9,3
6,6,Undirected,113,,,24,3
6,6,Undirected,114,,,4,3
6,6,Undirected,115,,,3,3
6,6,Undirected,116,,,6,3
6,7,Undirected,117,,,7,3
6,6,Undirected,118,,,4,3
6,6,Undirected,119,,,11,3
6,6,Undirected,120,,,5,3
6,6,Undirected,121,,,7,3
6,7,Undirected,122,,,8,3
6,2,Undirected,123,,,14,3
6,0,Undirected,124,,,5,3
6,0,Undirected,125,,,8,3
6,6,Undirected,126,,,48,3
6,1,Undirected,127,,,23,3
6,6,Undirected,128,,,21,3
6,6,Undirected,129,,,5,3
6,6,Undirected,130,,,24,3
6,1,Undirected,131,,,7,3
3,3,Undirected,132,,,21,3
3,3,Undirected,133,,,5,3
3,3,Undirected,134,,,4,3
3,3,Undirected,135,,,5,3
3,3,Undirected,136,,,3,3
3,3,Undirected,137,,,8,3
3,3,Undirected,138,,,16,3
3,3,Undirected,139,,,3,3
1,1,Undirected,140,,,3,3
1,1,Undirected,141,,,3,3
1,1,Undirected,142,,,3,3
1,1,Undirected,143,,,4,3
1,1,Undirected,144,,,4,3
2,2,Undirected,145,,,6,3
2,3,Undirected,146,,,4,3
2,1,Undirected,147,,,4,3
0,0,Undirected,148,,,3,3
0,0,Undirected,149,,,5,3
0,1,Undirected,150,,,5,3
0,0,Undirected,151,,,6,3
0,1,Undirected,152,,,3,3
0,1,Undirected,153,,,4,3
4,4,Undirected,154,,,5,3
4,4,Undirected,155,,,11,3
0,5,Undirected,156,,,5,3
0,0,Undirected,157,,,5,3
0,0,Undirected,158,,,4,3
0,5,Undirected,159,,,5,3
0,0,Undirected,160,,,8,3
4,4,Undirected,161,,,4,3
4,4,Undirected,162,,,3,3
4,4,Undirected,163,,,4,3
4,4,Undirected,164,,,4,3
4,4,Undirected,165,,,3,3
5,5,Undirected,166,,,4,3
5,5,Undirected,167,,,28,3
5,5,Undirected,168,,,8,3
5,5,Undirected,169,,,3,3
5,5,Undirected,170,,,18,3
5,5,Undirected,171,,,8,3
5,5,Undirected,172,,,4,3
5,5,Undirected,173,,,10,3
7,7,Undirected,174,,,3,3
7,4,Undirected,175,,,3,3
