Source,Target,Type,Id,Label,timeset,Weight,season
0,0,Undirected,0,,,194,8
0,0,Undirected,1,,,122,8
0,0,Undirected,2,,,122,8
0,0,Undirected,3,,,121,8
0,0,Undirected,4,,,116,8
0,0,Undirected,5,,,114,8
0,0,Undirected,6,,,86,8
0,0,Undirected,7,,,72,8
0,0,Undirected,8,,,71,8
0,0,Undirected,9,,,70,8
0,0,Undirected,10,,,70,8
0,0,Undirected,11,,,70,8
0,0,Undirected,12,,,66,8
0,0,Undirected,13,,,63,8
0,0,Undirected,14,,,55,8
0,0,Undirected,15,,,52,8
0,0,Undirected,16,,,51,8
0,0,Undirected,17,,,50,8
0,0,Undirected,18,,,50,8
0,0,Undirected,19,,,49,8
0,0,Undirected,20,,,47,8
0,0,Undirected,21,,,46,8
0,0,Undirected,22,,,44,8
1,1,Undirected,23,,,41,8
0,0,Undirected,24,,,40,8
1,0,Undirected,25,,,40,8
1,1,Undirected,26,,,40,8
0,0,Undirected,27,,,40,8
0,0,Undirected,28,,,38,8
0,0,Undirected,29,,,37,8
1,0,Undirected,30,,,36,8
0,0,Undirected,31,,,34,8
0,0,Undirected,32,,,31,8
1,0,Undirected,33,,,31,8
0,0,Undirected,34,,,30,8
0,0,Undirected,35,,,30,8
0,0,Undirected,36,,,28,8
0,0,Undirected,37,,,28,8
0,0,Undirected,38,,,27,8
0,0,Undirected,39,,,27,8
0,0,Undirected,40,,,27,8
0,1,Undirected,41,,,27,8
1,0,Undirected,42,,,26,8
0,0,Undirected,43,,,26,8
0,0,Undirected,44,,,26,8
0,0,Undirected,45,,,26,8
0,0,Undirected,46,,,24,8
0,0,Undirected,47,,,24,8
0,0,Undirected,48,,,24,8
1,1,Undirected,49,,,24,8
0,0,Undirected,50,,,24,8
0,0,Undirected,51,,,23,8
0,0,Undirected,52,,,23,8
0,0,Undirected,53,,,23,8
0,0,Undirected,54,,,23,8
0,0,Undirected,55,,,23,8
0,0,Undirected,56,,,23,8
0,0,Undirected,57,,,23,8
0,0,Undirected,58,,,22,8
0,0,Undirected,59,,,22,8
0,0,Undirected,60,,,22,8
0,0,Undirected,61,,,22,8
0,0,Undirected,62,,,22,8
0,0,Undirected,63,,,21,8
0,0,Undirected,64,,,21,8
0,0,Undirected,65,,,21,8
0,0,Undirected,66,,,21,8
1,1,Undirected,67,,,20,8
0,0,Undirected,68,,,20,8
0,0,Undirected,69,,,19,8
0,0,Undirected,70,,,19,8
0,0,Undirected,71,,,19,8
0,0,Undirected,72,,,19,8
0,0,Undirected,73,,,19,8
1,0,Undirected,74,,,19,8
0,0,Undirected,75,,,19,8
0,0,Undirected,76,,,18,8
0,0,Undirected,77,,,18,8
0,0,Undirected,78,,,18,8
0,0,Undirected,79,,,18,8
0,0,Undirected,80,,,18,8
0,0,Undirected,81,,,18,8
0,0,Undirected,82,,,17,8
0,0,Undirected,83,,,17,8
1,0,Undirected,84,,,17,8
0,0,Undirected,85,,,17,8
0,0,Undirected,86,,,17,8
0,0,Undirected,87,,,16,8
0,0,Undirected,88,,,16,8
0,0,Undirected,89,,,16,8
0,0,Undirected,90,,,16,8
0,0,Undirected,91,,,15,8
0,0,Undirected,92,,,15,8
0,0,Undirected,93,,,15,8
0,0,Undirected,94,,,15,8
0,0,Undirected,95,,,14,8
0,0,Undirected,96,,,14,8
0,0,Undirected,97,,,14,8
0,0,Undirected,98,,,14,8
0,0,Undirected,99,,,14,8
0,0,Undirected,100,,,14,8
0,0,Undirected,101,,,14,8
0,0,Undirected,102,,,14,8
0,0,Undirected,103,,,13,8
0,0,Undirected,104,,,13,8
0,0,Undirected,105,,,13,8
0,0,Undirected,106,,,13,8
0,0,Undirected,107,,,13,8
1,0,Undirected,108,,,13,8
0,0,Undirected,109,,,13,8
0,0,Undirected,110,,,13,8
0,0,Undirected,111,,,13,8
0,0,Undirected,112,,,12,8
1,1,Undirected,113,,,12,8
1,1,Undirected,114,,,12,8
0,0,Undirected,115,,,12,8
0,0,Undirected,116,,,12,8
0,0,Undirected,117,,,11,8
0,0,Undirected,118,,,11,8
0,0,Undirected,119,,,11,8
0,0,Undirected,120,,,11,8
1,1,Undirected,121,,,11,8
0,0,Undirected,122,,,11,8
0,0,Undirected,123,,,11,8
0,0,Undirected,124,,,11,8
0,0,Undirected,125,,,11,8
0,0,Undirected,126,,,11,8
0,0,Undirected,127,,,11,8
0,0,Undirected,128,,,11,8
0,0,Undirected,129,,,11,8
0,0,Undirected,130,,,11,8
0,0,Undirected,131,,,11,8
0,0,Undirected,132,,,10,8
0,0,Undirected,133,,,10,8
1,0,Undirected,134,,,10,8
0,1,Undirected,135,,,10,8
0,0,Undirected,136,,,10,8
0,0,Undirected,137,,,10,8
0,0,Undirected,138,,,10,8
0,0,Undirected,139,,,10,8
0,0,Undirected,140,,,10,8
0,0,Undirected,141,,,10,8
0,0,Undirected,142,,,10,8
0,0,Undirected,143,,,10,8
0,0,Undirected,144,,,10,8
0,0,Undirected,145,,,9,8
0,0,Undirected,146,,,9,8
0,0,Undirected,147,,,9,8
0,0,Undirected,148,,,9,8
1,0,Undirected,149,,,9,8
0,0,Undirected,150,,,9,8
0,0,Undirected,151,,,9,8
0,0,Undirected,152,,,9,8
0,0,Undirected,153,,,9,8
0,0,Undirected,154,,,9,8
0,0,Undirected,155,,,9,8
0,0,Undirected,156,,,9,8
0,0,Undirected,157,,,9,8
0,0,Undirected,158,,,8,8
0,0,Undirected,159,,,8,8
0,0,Undirected,160,,,8,8
1,0,Undirected,161,,,8,8
0,0,Undirected,162,,,8,8
1,0,Undirected,163,,,8,8
0,0,Undirected,164,,,8,8
0,0,Undirected,165,,,8,8
0,0,Undirected,166,,,8,8
0,0,Undirected,167,,,8,8
0,0,Undirected,168,,,8,8
0,0,Undirected,169,,,8,8
0,0,Undirected,170,,,8,8
