Source,Target,Type,Id,Label,timeset,Weight,book
Aegon-I-Targaryen,Harren-Hoare,Undirected,0,,,4,2
Aegon-I-Targaryen,Nan,Undirected,1,,,3,2
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,2,,,4,2
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,3,,,3,2
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,4,,,3,2
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,5,,,3,2
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,6,,,3,2
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,7,,,9,2
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,8,,,11,2
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,9,,,3,2
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,10,,,5,2
Aenys-Frey,Arya-Stark,Undirected,11,,,6,2
Aeron-Greyjoy,Dagmer,Undirected,12,,,5,2
Aeron-Greyjoy,Theon-Greyjoy,Undirected,13,,,17,2
Aerys-I-Targaryen,Robert-Baratheon,Undirected,14,,,3,2
Aerys-II-Targaryen,Eddard-Stark,Undirected,15,,,5,2
Aerys-II-Targaryen,Jaime-Lannister,Undirected,16,,,4,2
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,17,,,4,2
Aerys-II-Targaryen,Robert-Baratheon,Undirected,18,,,6,2
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,19,,,3,2
Aggar,Gariss,Undirected,20,,,3,2
Aggar,Gelmarr,Undirected,21,,,3,2
Aggar,Gynir,Undirected,22,,,3,2
Aggar,Ramsay-Snow,Undirected,23,,,4,2
Aggo,Belwas,Undirected,24,,,3,2
Aggo,Daenerys-Targaryen,Undirected,25,,,10,2
Aggo,Jhogo,Undirected,26,,,12,2
Aggo,Jorah-Mormont,Undirected,27,,,4,2
Aggo,Rakharo,Undirected,28,,,4,2
Alayaya,Dancy,Undirected,29,,,3,2
Alayaya,Tyrion-Lannister,Undirected,30,,,3,2
Alebelly,Bran-Stark,Undirected,31,,,7,2
Alebelly,Hayhead,Undirected,32,,,3,2
Alebelly,Jojen-Reed,Undirected,33,,,6,2
Alebelly,Mikken,Undirected,34,,,3,2
Alester-Florent,Cortnay-Penrose,Undirected,35,,,4,2
Alester-Florent,Davos-Seaworth,Undirected,36,,,3,2
Alester-Florent,Renly-Baratheon,Undirected,37,,,3,2
Alester-Florent,Stannis-Baratheon,Undirected,38,,,5,2
Allar-Deem,Janos-Slynt,Undirected,39,,,3,2
Allar-Deem,Tyrion-Lannister,Undirected,40,,,4,2
Allard-Seaworth,Davos-Seaworth,Undirected,41,,,5,2
Allard-Seaworth,Marya-Seaworth,Undirected,42,,,5,2
Allard-Seaworth,Stannis-Baratheon,Undirected,43,,,3,2
Alliser-Thorne,Jeor-Mormont,Undirected,44,,,3,2
Alliser-Thorne,Joffrey-Baratheon,Undirected,45,,,4,2
Alliser-Thorne,Jon-Snow,Undirected,46,,,3,2
Alliser-Thorne,Tyrion-Lannister,Undirected,47,,,8,2
Amabel,Arya-Stark,Undirected,48,,,6,2
Amabel,Harra,Undirected,49,,,4,2
Amory-Lorch,Arya-Stark,Undirected,50,,,9,2
Amory-Lorch,Cersei-Lannister,Undirected,51,,,4,2
Amory-Lorch,Chiswyck,Undirected,52,,,4,2
Amory-Lorch,Dunsen,Undirected,53,,,3,2
Amory-Lorch,Gendry,Undirected,54,,,3,2
Amory-Lorch,Gregor-Clegane,Undirected,55,,,7,2
Amory-Lorch,Hot-Pie,Undirected,56,,,3,2
Amory-Lorch,Ilyn-Payne,Undirected,57,,,4,2
Amory-Lorch,Joffrey-Baratheon,Undirected,58,,,7,2
Amory-Lorch,Meryn-Trant,Undirected,59,,,5,2
Amory-Lorch,Polliver,Undirected,60,,,3,2
Amory-Lorch,Rafford,Undirected,61,,,5,2
Amory-Lorch,Roose-Bolton,Undirected,62,,,3,2
Amory-Lorch,Sandor-Clegane,Undirected,63,,,5,2
Amory-Lorch,Tickler,Undirected,64,,,5,2
Amory-Lorch,Tywin-Lannister,Undirected,65,,,4,2
Amory-Lorch,Vargo-Hoat,Undirected,66,,,7,2
Amory-Lorch,Yoren,Undirected,67,,,5,2
Ardrian-Celtigar,Monford-Velaryon,Undirected,68,,,5,2
Aron-Santagar,Sandor-Clegane,Undirected,69,,,3,2
Arwyn-Oakheart,Randyll-Tarly,Undirected,70,,,3,2
Arya-Stark,Beric-Dondarrion,Undirected,71,,,5,2
Arya-Stark,Biter,Undirected,72,,,10,2
Arya-Stark,Bran-Stark,Undirected,73,,,10,2
Arya-Stark,Cersei-Lannister,Undirected,74,,,7,2
Arya-Stark,Chiswyck,Undirected,75,,,8,2
Arya-Stark,Dobber,Undirected,76,,,4,2
Arya-Stark,Dunsen,Undirected,77,,,3,2
Arya-Stark,Eddard-Stark,Undirected,78,,,6,2
Arya-Stark,Gendry,Undirected,79,,,36,2
Arya-Stark,Gregor-Clegane,Undirected,80,,,4,2
Arya-Stark,Harra,Undirected,81,,,3,2
Arya-Stark,Harren-Hoare,Undirected,82,,,7,2
Arya-Stark,Hot-Pie,Undirected,83,,,51,2
Arya-Stark,Jaime-Lannister,Undirected,84,,,3,2
Arya-Stark,Jaqen-Hghar,Undirected,85,,,25,2
Arya-Stark,Joffrey-Baratheon,Undirected,86,,,4,2
Arya-Stark,Jon-Snow,Undirected,87,,,13,2
Arya-Stark,Koss,Undirected,88,,,3,2
Arya-Stark,Lommy-Greenhands,Undirected,89,,,31,2
Arya-Stark,Nan,Undirected,90,,,5,2
Arya-Stark,Polliver,Undirected,91,,,3,2
Arya-Stark,Praed,Undirected,92,,,3,2
Arya-Stark,Rafford,Undirected,93,,,5,2
Arya-Stark,Rickon-Stark,Undirected,94,,,5,2
Arya-Stark,Robb-Stark,Undirected,95,,,15,2
Arya-Stark,Robert-Baratheon,Undirected,96,,,4,2
Arya-Stark,Roose-Bolton,Undirected,97,,,13,2
Arya-Stark,Rorge,Undirected,98,,,13,2
Arya-Stark,Sansa-Stark,Undirected,99,,,20,2
Arya-Stark,Syrio-Forel,Undirected,100,,,5,2
Arya-Stark,Tyrion-Lannister,Undirected,101,,,4,2
Arya-Stark,Tywin-Lannister,Undirected,102,,,13,2
Arya-Stark,Vargo-Hoat,Undirected,103,,,6,2
Arya-Stark,Weasel,Undirected,104,,,10,2
Arya-Stark,Weese,Undirected,105,,,15,2
Arya-Stark,Woth,Undirected,106,,,3,2
Arya-Stark,Yoren,Undirected,107,,,28,2
Arys-Oakheart,Joffrey-Baratheon,Undirected,108,,,6,2
Arys-Oakheart,Myrcella-Baratheon,Undirected,109,,,4,2
Arys-Oakheart,Sansa-Stark,Undirected,110,,,3,2
Asha-Greyjoy,Balon-Greyjoy,Undirected,111,,,3,2
Asha-Greyjoy,Dagmer,Undirected,112,,,5,2
Asha-Greyjoy,Theon-Greyjoy,Undirected,113,,,35,2
Asha-Greyjoy,Wex-Pyke,Undirected,114,,,3,2
Axell-Florent,Selyse-Florent,Undirected,115,,,3,2
Axell-Florent,Stannis-Baratheon,Undirected,116,,,6,2
Bael-the-Bard,Ygritte,Undirected,117,,,5,2
Ballabar,Podrick-Payne,Undirected,118,,,3,2
Ballabar,Tyrion-Lannister,Undirected,119,,,12,2
Balon-Greyjoy,Catelyn-Stark,Undirected,120,,,3,2
Balon-Greyjoy,Dagmer,Undirected,121,,,3,2
Balon-Greyjoy,Eddard-Stark,Undirected,122,,,4,2
Balon-Greyjoy,Robb-Stark,Undirected,123,,,5,2
Balon-Greyjoy,Robert-Baratheon,Undirected,124,,,4,2
Balon-Greyjoy,Theon-Greyjoy,Undirected,125,,,27,2
Balon-Greyjoy,Victarion-Greyjoy,Undirected,126,,,4,2
Balon-Swann,Joffrey-Baratheon,Undirected,127,,,6,2
Balon-Swann,Mandon-Moore,Undirected,128,,,3,2
Balon-Swann,Meryn-Trant,Undirected,129,,,3,2
Balon-Swann,Osmund-Kettleblack,Undirected,130,,,4,2
Balon-Swann,Tyrion-Lannister,Undirected,131,,,8,2
Barristan-Selmy,Belwas,Undirected,132,,,5,2
Barristan-Selmy,Cersei-Lannister,Undirected,133,,,5,2
Barristan-Selmy,Daenerys-Targaryen,Undirected,134,,,3,2
Barristan-Selmy,Joffrey-Baratheon,Undirected,135,,,7,2
Barristan-Selmy,Robert-Baratheon,Undirected,136,,,3,2
Barristan-Selmy,Varys,Undirected,137,,,3,2
Belwas,Daenerys-Targaryen,Undirected,138,,,5,2
Belwas,Jhogo,Undirected,139,,,3,2
Belwas,Jorah-Mormont,Undirected,140,,,4,2
Benfred-Tallhart,Helman-Tallhart,Undirected,141,,,3,2
Benfred-Tallhart,Leobald-Tallhart,Undirected,142,,,3,2
Benfred-Tallhart,Stygg,Undirected,143,,,3,2
Benfred-Tallhart,Theon-Greyjoy,Undirected,144,,,7,2
Benjen-Stark,Jeor-Mormont,Undirected,145,,,5,2
Beric-Dondarrion,Thoros-of-Myr,Undirected,146,,,3,2
Beth-Cassel,Bran-Stark,Undirected,147,,,4,2
Beth-Cassel,Rodrik-Cassel,Undirected,148,,,4,2
Beth-Cassel,Theon-Greyjoy,Undirected,149,,,3,2
Biter,Jaqen-Hghar,Undirected,150,,,12,2
Biter,Rorge,Undirected,151,,,14,2
Biter,Yoren,Undirected,152,,,3,2
Boros-Blount,Cersei-Lannister,Undirected,153,,,7,2
Boros-Blount,Gyles-Rosby,Undirected,154,,,5,2
Boros-Blount,Joffrey-Baratheon,Undirected,155,,,11,2
Boros-Blount,Meryn-Trant,Undirected,156,,,13,2
Boros-Blount,Sansa-Stark,Undirected,157,,,8,2
Boros-Blount,Tanda-Stokeworth,Undirected,158,,,3,2
Boros-Blount,Tommen-Baratheon,Undirected,159,,,3,2
Boros-Blount,Tyrion-Lannister,Undirected,160,,,8,2
Bran-Stark,Catelyn-Stark,Undirected,161,,,3,2
Bran-Stark,Chayle,Undirected,162,,,3,2
Bran-Stark,Cley-Cerwyn,Undirected,163,,,5,2
Bran-Stark,Donella-Hornwood,Undirected,164,,,5,2
Bran-Stark,Eddard-Stark,Undirected,165,,,4,2
Bran-Stark,Hayhead,Undirected,166,,,6,2
Bran-Stark,Hodor,Undirected,167,,,59,2
Bran-Stark,Howland-Reed,Undirected,168,,,3,2
Bran-Stark,Jojen-Reed,Undirected,169,,,47,2
Bran-Stark,Jon-Snow,Undirected,170,,,11,2
Bran-Stark,Luwin,Undirected,171,,,51,2
Bran-Stark,Meera-Reed,Undirected,172,,,36,2
Bran-Stark,Mikken,Undirected,173,,,11,2
Bran-Stark,Nan,Undirected,174,,,7,2
Bran-Stark,Osha,Undirected,175,,,30,2
Bran-Stark,Poxy-Tym,Undirected,176,,,3,2
Bran-Stark,Ramsay-Snow,Undirected,177,,,7,2
Bran-Stark,Reek,Undirected,178,,,3,2
Bran-Stark,Rickon-Stark,Undirected,179,,,54,2
Bran-Stark,Robb-Stark,Undirected,180,,,28,2
Bran-Stark,Rodrik-Cassel,Undirected,181,,,34,2
Bran-Stark,Sansa-Stark,Undirected,182,,,5,2
Bran-Stark,Stafford-Lannister,Undirected,183,,,3,2
Bran-Stark,Theon-Greyjoy,Undirected,184,,,24,2
Bran-Stark,Walder-Frey-(son-of-Jammos),Undirected,185,,,5,2
Bran-Stark,Walder-Frey-(son-of-Merrett),Undirected,186,,,12,2
Bran-Stark,Wyman-Manderly,Undirected,187,,,6,2
Brienne-of-Tarth,Catelyn-Stark,Undirected,188,,,36,2
Brienne-of-Tarth,Edmure-Tully,Undirected,189,,,3,2
Brienne-of-Tarth,Emmon-Cuy,Undirected,190,,,8,2
Brienne-of-Tarth,Jaime-Lannister,Undirected,191,,,3,2
Brienne-of-Tarth,Renly-Baratheon,Undirected,192,,,28,2
Brienne-of-Tarth,Robar-Royce,Undirected,193,,,3,2
Brienne-of-Tarth,Robert-Baratheon,Undirected,194,,,3,2
Brienne-of-Tarth,Selwyn-Tarth,Undirected,195,,,4,2
Brienne-of-Tarth,Stannis-Baratheon,Undirected,196,,,5,2
Brienne-of-Tarth,Vyman,Undirected,197,,,3,2
Bronn,Cersei-Lannister,Undirected,198,,,11,2
Bronn,Jacelyn-Bywater,Undirected,199,,,7,2
Bronn,Joffrey-Baratheon,Undirected,200,,,9,2
Bronn,Mandon-Moore,Undirected,201,,,5,2
Bronn,Podrick-Payne,Undirected,202,,,3,2
Bronn,Stannis-Baratheon,Undirected,203,,,3,2
Bronn,Timett,Undirected,204,,,5,2
Bronn,Tommen-Baratheon,Undirected,205,,,3,2
Bronn,Tyrion-Lannister,Undirected,206,,,40,2
Bronn,Varys,Undirected,207,,,8,2
Bryce-Caron,Cortnay-Penrose,Undirected,208,,,3,2
Bryce-Caron,Eldon-Estermont,Undirected,209,,,3,2
Bryce-Caron,Guyard-Morrigen,Undirected,210,,,5,2
Bryce-Caron,Renly-Baratheon,Undirected,211,,,7,2
Bryce-Caron,Stannis-Baratheon,Undirected,212,,,3,2
Brynden-Tully,Catelyn-Stark,Undirected,213,,,5,2
Brynden-Tully,Robb-Stark,Undirected,214,,,6,2
Brynden-Tully,Tywin-Lannister,Undirected,215,,,3,2
Captain-Myraham,Theon-Greyjoy,Undirected,216,,,4,2
Captain-Myraham-Daughter,Theon-Greyjoy,Undirected,217,,,3,2
Catelyn-Stark,Cersei-Lannister,Undirected,218,,,14,2
Catelyn-Stark,Cleos-Frey,Undirected,219,,,5,2
Catelyn-Stark,Colen-of-Greenpools,Undirected,220,,,6,2
Catelyn-Stark,Desmond-Grell,Undirected,221,,,3,2
Catelyn-Stark,Eddard-Stark,Undirected,222,,,12,2
Catelyn-Stark,Edmure-Tully,Undirected,223,,,17,2
Catelyn-Stark,Hallis-Mollen,Undirected,224,,,6,2
Catelyn-Stark,Hoster-Tully,Undirected,225,,,5,2
Catelyn-Stark,Jaime-Lannister,Undirected,226,,,16,2
Catelyn-Stark,Joffrey-Baratheon,Undirected,227,,,4,2
Catelyn-Stark,Loras-Tyrell,Undirected,228,,,6,2
Catelyn-Stark,Lysa-Arryn,Undirected,229,,,7,2
Catelyn-Stark,Margaery-Tyrell,Undirected,230,,,4,2
Catelyn-Stark,Mathis-Rowan,Undirected,231,,,3,2
Catelyn-Stark,Randyll-Tarly,Undirected,232,,,3,2
Catelyn-Stark,Renly-Baratheon,Undirected,233,,,51,2
Catelyn-Stark,Rickon-Stark,Undirected,234,,,3,2
Catelyn-Stark,Robar-Royce,Undirected,235,,,7,2
Catelyn-Stark,Robb-Stark,Undirected,236,,,27,2
Catelyn-Stark,Robert-Baratheon,Undirected,237,,,5,2
Catelyn-Stark,Sansa-Stark,Undirected,238,,,3,2
Catelyn-Stark,Stafford-Lannister,Undirected,239,,,3,2
Catelyn-Stark,Stannis-Baratheon,Undirected,240,,,20,2
Catelyn-Stark,Theon-Greyjoy,Undirected,241,,,5,2
Catelyn-Stark,Tyrion-Lannister,Undirected,242,,,10,2
Catelyn-Stark,Tywin-Lannister,Undirected,243,,,14,2
Catelyn-Stark,Utherydes-Wayn,Undirected,244,,,3,2
Catelyn-Stark,Vyman,Undirected,245,,,4,2
Catelyn-Stark,Wendel-Manderly,Undirected,246,,,7,2
Cersei-Lannister,Chiswyck,Undirected,247,,,3,2
Cersei-Lannister,Cleos-Frey,Undirected,248,,,6,2
Cersei-Lannister,Dunsen,Undirected,249,,,3,2
Cersei-Lannister,Eddard-Stark,Undirected,250,,,13,2
Cersei-Lannister,Gregor-Clegane,Undirected,251,,,4,2
Cersei-Lannister,Gyles-Rosby,Undirected,252,,,6,2
Cersei-Lannister,Ilyn-Payne,Undirected,253,,,12,2
Cersei-Lannister,Jacelyn-Bywater,Undirected,254,,,4,2
Cersei-Lannister,Jaime-Lannister,Undirected,255,,,17,2
Cersei-Lannister,Janos-Slynt,Undirected,256,,,9,2
Cersei-Lannister,Joffrey-Baratheon,Undirected,257,,,63,2
Cersei-Lannister,Lancel-Lannister,Undirected,258,,,20,2
Cersei-Lannister,Lysa-Arryn,Undirected,259,,,5,2
Cersei-Lannister,Meryn-Trant,Undirected,260,,,11,2
Cersei-Lannister,Myrcella-Baratheon,Undirected,261,,,4,2
Cersei-Lannister,Osfryd-Kettleblack,Undirected,262,,,7,2
Cersei-Lannister,Osmund-Kettleblack,Undirected,263,,,4,2
Cersei-Lannister,Osney-Kettleblack,Undirected,264,,,3,2
Cersei-Lannister,Petyr-Baelish,Undirected,265,,,7,2
Cersei-Lannister,Polliver,Undirected,266,,,3,2
Cersei-Lannister,Preston-Greenfield,Undirected,267,,,3,2
Cersei-Lannister,Pycelle,Undirected,268,,,6,2
Cersei-Lannister,Rafford,Undirected,269,,,3,2
Cersei-Lannister,Renly-Baratheon,Undirected,270,,,7,2
Cersei-Lannister,Robb-Stark,Undirected,271,,,15,2
Cersei-Lannister,Robert-Baratheon,Undirected,272,,,12,2
Cersei-Lannister,Sandor-Clegane,Undirected,273,,,9,2
Cersei-Lannister,Sansa-Stark,Undirected,274,,,39,2
