Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Aegon-I-Targaryen,Aegon-I-Targaryen,,1,4,6,0.267117,0.30116,0,4
Daenerys-Targaryen,Daenerys-Targaryen,,58,721,5,0.364055,0.469304,14729.227752,4
Aegon-Targaryen-(son-of-Rhaegar),Aegon-Targaryen-(son-of-Rhaegar),,15,130,6,0.317907,0.368038,1050.157715,0
Elia-Martell,Elia-Martell,,3,13,6,0.253205,0.277532,315,0
Franklyn-Flowers,Franklyn-Flowers,,3,10,6,0.249605,0.272785,315,0
Haldon,Haldon,,11,135,6,0.293953,0.329167,329.291071,0
Harry-Strickland,Harry-Strickland,,3,31,6,0.249408,0.272257,2.059524,0
Jon-Connington,Jon-Connington,,16,169,5,0.32951,0.378586,1761.616572,0
Lemore,Lemore,,7,54,6,0.292864,0.322838,0.772024,0
Rhaegar-Targaryen,Rhaegar-Targaryen,,9,54,5,0.328824,0.370411,868.043903,0
Rhaenys-Targaryen-(daughter-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),,1,4,7,0.241406,0.260978,0,0
Rolly-Duckfield,Rolly-Duckfield,,8,101,6,0.293135,0.32442,2.291071,0
Tyrion-Lannister,Tyrion-Lannister,,33,454,5,0.402548,0.462764,10432.594879,0
Tywin-Lannister,Tywin-Lannister,,9,46,5,0.358683,0.391772,1147.626272,0
Viserys-Targaryen,Viserys-Targaryen,,5,20,5,0.321792,0.355116,103.610515,4
Yandry,Yandry,,7,65,6,0.292864,0.322838,0.772024,0
Ysilla,Ysilla,,6,46,6,0.291244,0.319146,0,0
Aemon-Targaryen-(Maester-Aemon),Aemon-Targaryen-(Maester-Aemon),,5,41,6,0.322449,0.358492,28.78334,1
Clydas,Clydas,,5,37,6,0.322449,0.358492,148.253544,1
Gilly,Gilly,,7,35,7,0.271711,0.318678,23.551318,1
Jon-Snow,Jon-Snow,,62,761,6,0.355056,0.465032,12186.121627,1
Samwell-Tarly,Samwell-Tarly,,4,46,6,0.32212,0.356909,27.950007,1
Stannis-Baratheon,Stannis-Baratheon,,47,420,5,0.432285,0.50443,22537.379305,1
Aenys-Frey,Aenys-Frey,,3,13,7,0.256494,0.286611,20.305556,5
Hosteen-Frey,Hosteen-Frey,,2,11,7,0.243827,0.263299,0,5
Theon-Greyjoy,Theon-Greyjoy,,33,307,6,0.33942,0.410707,5472.66494,3
Wyman-Manderly,Wyman-Manderly,,14,98,6,0.321792,0.367985,1619.122656,5
Aeron-Greyjoy,Aeron-Greyjoy,,2,7,6,0.246298,0.263344,0,2
Euron-Greyjoy,Euron-Greyjoy,,4,18,5,0.285456,0.306593,683.185305,2
Victarion-Greyjoy,Victarion-Greyjoy,,9,66,6,0.281389,0.326951,1662.902561,2
Aerys-II-Targaryen,Aerys-II-Targaryen,,3,16,5,0.294501,0.311814,0.8,0
Robert-Baratheon,Robert-Baratheon,,15,75,4,0.400507,0.437764,8817.70444,0
Aggo,Aggo,,6,36,6,0.269395,0.311709,1.652778,4
Barristan-Selmy,Barristan-Selmy,,25,270,6,0.32212,0.385707,2150.972148,4
Daario-Naharis,Daario-Naharis,,15,155,6,0.27383,0.33096,40.241414,4
Grey-Worm,Grey-Worm,,7,41,6,0.270317,0.314873,1.979798,4
Jhogo,Jhogo,,7,43,6,0.269625,0.313291,3.628968,4
Rakharo,Rakharo,,6,36,6,0.268479,0.309599,1.503968,4
Alliser-Thorne,Alliser-Thorne,,1,6,7,0.262241,0.297792,0,1
Alys-Karstark,Alys-Karstark,,3,24,7,0.264435,0.303858,0,1
Melisandre,Melisandre,,17,149,6,0.333333,0.386973,823.362212,1
Sigorn,Sigorn,,4,17,6,0.322449,0.357437,58.181116,1
Alysane-Mormont,Alysane-Mormont,,3,28,6,0.307992,0.333808,0,2
Asha-Greyjoy,Asha-Greyjoy,,18,120,5,0.357871,0.399314,4450.323998,2
Justin-Massey,Justin-Massey,,5,40,6,0.308594,0.336973,9.166667,2
Archibald-Yronwood,Archibald-Yronwood,,4,43,7,0.218534,0.249051,0.75,4
Cletus-Yronwood,Cletus-Yronwood,,5,23,6,0.269165,0.309863,149.333451,4
Gerris-Drinkwater,Gerris-Drinkwater,,9,100,6,0.272884,0.322257,229.712157,4
Quentyn-Martell,Quentyn-Martell,,16,231,6,0.277924,0.339662,1063.254944,4
Tattered-Prince,Tattered-Prince,,8,45,6,0.271012,0.316983,793.945275,4
Areo-Hotah,Areo-Hotah,,6,40,6,0.253205,0.28096,129.29411,7
Arianne-Martell,Arianne-Martell,,6,39,6,0.283408,0.306593,100.672079,7
Arys-Oakheart,Arys-Oakheart,,2,7,7,0.221444,0.234132,0.958333,7
Balon-Swann,Balon-Swann,,6,30,6,0.296992,0.326846,193.618608,7
Doran-Martell,Doran-Martell,,15,77,5,0.329854,0.378586,2631.240453,7
Ellaria-Sand,Ellaria-Sand,,3,9,6,0.248819,0.270622,0,7
Obara-Sand,Obara-Sand,,5,29,6,0.249408,0.274314,170.089498,7
Myrcella-Baratheon,Myrcella-Baratheon,,9,40,5,0.359909,0.392458,1423.529667,7
Arnolf-Karstark,Arnolf-Karstark,,5,20,6,0.309804,0.338819,641.787879,1
Arthor-Karstark,Arthor-Karstark,,1,3,7,0.236704,0.249427,0,1
Mors-Umber,Mors-Umber,,3,14,6,0.304139,0.329589,140.13705,1
Rickard-Karstark,Rickard-Karstark,,1,3,7,0.236704,0.249427,0,1
Arron,Arron,,3,14,8,0.210246,0.234968,0,1
Emrick,Emrick,,3,12,8,0.210246,0.234968,0,1
Hareth-(Moles-Town),Hareth-(Moles-Town),,8,38,7,0.264214,0.309923,217.241146,1
Satin,Satin,,7,38,7,0.264657,0.309923,417.742187,1
Arya-Stark,Arya-Stark,,12,61,6,0.311024,0.364082,1544.420137,1
Bran-Stark,Bran-Stark,,12,161,6,0.308594,0.360918,2013.371586,6
Brusco,Brusco,,2,7,7,0.237773,0.260955,315,1
Eddard-Stark,Eddard-Stark,,14,75,5,0.37619,0.41788,3654.818929,1
Jeyne-Poole,Jeyne-Poole,,8,58,7,0.266892,0.305229,21.54647,3
Kindly-Man,Kindly-Man,,2,10,7,0.237594,0.260428,0,1
Mance-Rayder,Mance-Rayder,,16,115,6,0.33942,0.394357,2219.146333,1
Ramsay-Snow,Ramsay-Snow,,16,185,6,0.325103,0.374051,1259.827859,3
Sansa-Stark,Sansa-Stark,,3,10,6,0.293408,0.327637,0,1
Waif,Waif,,2,9,7,0.237594,0.260428,0,1
Gerold-Dayne,Gerold-Dayne,,3,9,6,0.26577,0.281751,192.316667,7
Clayton-Suggs,Clayton-Suggs,,3,15,6,0.307992,0.333808,0,1
Galbart-Glover,Galbart-Glover,,1,8,6,0.263773,0.278586,0,2
Godry-Farring,Godry-Farring,,7,29,6,0.331584,0.37115,338.745923,1
Grimtongue,Grimtongue,,4,17,6,0.265323,0.285179,362,2
Hagen,Hagen,,6,21,6,0.26577,0.288344,369,2
Qarl-the-Maid,Qarl-the-Maid,,3,16,6,0.264878,0.28307,0,2
Rolfe-the-Dwarf,Rolfe-the-Dwarf,,1,3,6,0.263773,0.278586,0,2
Sybelle-Glover,Sybelle-Glover,,2,6,6,0.264657,0.281487,206,2
Torgon-Greyiron,Torgon-Greyiron,,1,3,6,0.263773,0.278586,0,2
Tristifer-Botley,Tristifer-Botley,,3,20,6,0.264878,0.28307,0,2
Tycho-Nestoris,Tycho-Nestoris,,3,22,6,0.327801,0.36192,223.237842,1
Ashara-Dayne,Ashara-Dayne,,1,3,7,0.202175,0.214399,0,0
Axell-Florent,Axell-Florent,,5,23,6,0.32377,0.360601,0.392857,1
Selyse-Florent,Selyse-Florent,,15,138,6,0.327801,0.377479,1366.732024,1
Shireen-Baratheon,Shireen-Baratheon,,6,26,6,0.32377,0.361656,147.036291,1
Azor-Ahai,Azor-Ahai,,1,3,6,0.302103,0.324051,0,1
Balon-Greyjoy,Balon-Greyjoy,,2,6,6,0.268707,0.292247,143.994481,2
Barbrey-Dustin,Barbrey-Dustin,,6,37,6,0.314741,0.348207,129.58623,3
Roger-Ryswell,Roger-Ryswell,,2,8,7,0.253815,0.280018,0,3
Roose-Bolton,Roose-Bolton,,8,61,6,0.317907,0.355327,155.641549,3
Belwas,Belwas,,5,39,6,0.271012,0.314082,0.748918,4
Ben-Plumm,Ben-Plumm,,8,45,6,0.312871,0.35327,198.124164,4
Bloodbeard,Bloodbeard,,4,14,6,0.27078,0.312236,6.766667,4
Galazza-Galare,Galazza-Galare,,6,57,6,0.270085,0.313291,27.835917,4
