Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
JON,JON,,19,323,5,0.390476,0.473171,1020.311531,0
YGRITTE,YGRITTE,,13,254,5,0.306733,0.375745,28.539022,0
BRIENNE,BRIENNE,,5,160,5,0.342618,0.382791,18.523889,1
JAIME,JAIME,,17,335,5,0.416949,0.489431,326.553494,1
TYRION,TYRION,,25,653,5,0.416949,0.515176,740.183945,3
TYWIN,TYWIN,,29,366,5,0.448905,0.547696,964.765495,3
RAMSAY,RAMSAY,,7,134,5,0.336066,0.387534,108.850255,7
THEON,THEON,,11,191,5,0.368263,0.431301,385.125344,7
CERSEI,CERSEI,,20,354,6,0.360704,0.461518,141.082846,3
GILLY,GILLY,,9,137,5,0.308271,0.366938,177.153624,8
SAM,SAM,,17,226,5,0.317829,0.404878,766.64777,8
ROBB,ROBB,,31,375,4,0.478599,0.575881,1786.587028,2
TALISA,TALISA,,12,184,5,0.348442,0.414634,16.986475,2
SANSA,SANSA,,19,363,5,0.405941,0.488076,255.134228,3
ARYA,ARYA,,16,288,5,0.395498,0.469106,341.445542,4
HOUND,HOUND,,14,165,5,0.39172,0.460298,145.880061,4
DAVOS,DAVOS,,10,236,5,0.361765,0.419648,482.910415,4
STANNIS,STANNIS,,14,195,5,0.407285,0.473848,577.221646,4
SHAE,SHAE,,10,169,6,0.333333,0.399187,10.049085,3
BRONN,BRONN,,14,125,6,0.337912,0.416802,18.967926,3
DAENERYS,DAENERYS,,12,294,6,0.297821,0.362873,452.656392,5
JORAH,JORAH,,10,188,6,0.296386,0.354743,286.885311,5
BRAN,BRAN,,17,292,4,0.412752,0.485095,1110.616222,6
OSHA,OSHA,,10,172,5,0.304455,0.36355,0,6
MISSANDEI,MISSANDEI,,10,164,7,0.236994,0.296283,7.558463,5
JOJEN,JOJEN,,14,186,5,0.364985,0.43252,262.528371,6
JOFFREY,JOFFREY,,21,279,5,0.424138,0.507046,271.400847,3
MARGAERY,MARGAERY,,12,225,6,0.33515,0.407317,29.220752,3
THOROS,THOROS,,10,175,5,0.361765,0.412195,76.286633,4
LOCKE,LOCKE,,6,92,6,0.330645,0.382249,3.44504,1
BARRISTAN,BARRISTAN,,9,124,6,0.3,0.355827,296.026569,5
CATELYN,CATELYN,,22,230,4,0.452206,0.531843,926.736354,2
KRAZNYS_MO_NAKLOZ,KRAZNYS_MO_NAKLOZ,,5,84,7,0.234733,0.275958,0.704762,5
QYBURN,QYBURN,,7,68,5,0.361765,0.41084,27.736678,1
GENDRY,GENDRY,,11,207,6,0.354467,0.423577,114.045389,4
MELISANDRE,MELISANDRE,,9,162,6,0.331536,0.389702,74.422047,4
EDMURE,EDMURE,,15,140,5,0.388013,0.458943,94.001668,2
HODOR,HODOR,,12,121,5,0.312977,0.383198,13.650623,6
SHIREEN,SHIREEN,,5,60,6,0.295673,0.335366,135.15059,4
OLENNA,OLENNA,,15,217,6,0.351429,0.432385,139.466193,3
VARYS,VARYS,,14,166,5,0.392971,0.460976,159.815613,3
RICKARD_KARSTARK,RICKARD_KARSTARK,,11,70,5,0.369369,0.428455,134.763292,2
ORELL,ORELL,,11,132,5,0.305211,0.367615,6.442952,0
DAARIO,DAARIO,,7,96,7,0.235632,0.284088,1.520368,5
MANCE,MANCE,,5,74,6,0.284065,0.325881,0.25,0
LITTLEFINGER,LITTLEFINGER,,10,115,6,0.331536,0.396477,53.717556,3
PODRICK,PODRICK,,8,71,6,0.323684,0.378862,3.514095,3
TORMUND,TORMUND,,12,130,5,0.30597,0.37168,14.943444,0
MEERA,MEERA,,12,141,5,0.312977,0.383198,13.650623,6
BERIC,BERIC,,8,116,5,0.344538,0.390515,23.135983,4
LORAS,LORAS,,15,130,6,0.339779,0.422222,119.392187,3
ROOSE_BOLTON,ROOSE_BOLTON,,18,153,5,0.403279,0.483333,237.456283,2
SALLADHOR,SALLADHOR,,2,30,6,0.292857,0.321816,0,4
WALDER,WALDER,,15,126,5,0.39172,0.462331,230.781656,2
BRYNDEN,BRYNDEN,,11,99,5,0.346479,0.409214,4.656956,2
ANGUY,ANGUY,,7,93,6,0.310606,0.357859,1.542593,4
RICKON,RICKON,,13,90,5,0.375,0.444851,242.647344,6
ROS,ROS,,4,43,6,0.298544,0.341599,0,3
MYRANDA,MYRANDA,,3,36,6,0.270925,0.301897,0,7
VIOLET,VIOLET,,3,36,6,0.270925,0.301897,0,7
SELYSE,SELYSE,,3,25,6,0.296386,0.330623,2.244444,4
RADZAI_MO_ERAZ,RADZAI_MO_ERAZ,,3,24,7,0.23384,0.267828,0,5
JEOR,JEOR,,7,69,6,0.292162,0.346883,61.113208,8
RAST,RAST,,7,72,6,0.244533,0.298103,2.5,8
TORTURER,TORTURER,,1,19,6,0.269737,0.293767,0,7
CRASTER,CRASTER,,7,50,6,0.292162,0.346883,61.113208,8
MERO,MERO,,6,60,7,0.232075,0.275823,0.2,5
GRENN,GRENN,,6,50,6,0.244048,0.294038,0,8
HOT_PIE,HOT_PIE,,4,32,6,0.30597,0.342276,0,4
STEELSHANKS_WALTON,STEELSHANKS_WALTON,,4,21,6,0.328877,0.374119,0,1
KARL_TANNER,KARL_TANNER,,6,29,6,0.244048,0.294038,0,8
PRENDAHL,PRENDAHL,,5,33,7,0.231638,0.271758,0,5
BALON,BALON,,5,31,5,0.334239,0.379404,27.127056,7
GREY_WORM,GREY_WORM,,6,39,7,0.235182,0.280023,0.615606,5
EDDISON_TOLLETT,EDDISON_TOLLETT,,6,41,6,0.244048,0.294038,0,8
ROSLIN,ROSLIN,,10,44,5,0.343575,0.402439,20.527616,2
