Source,Target,Type,Id,Label,timeset,Weight,season
DAENERYS,JON,Undirected,0,,,194,8
DAENERYS,TYRION,Undirected,1,,,122,8
JAIME,TYRION,Undirected,2,,,122,8
BRIENNE,JAIME,Undirected,3,,,121,8
JON,TYRION,Undirected,4,,,116,8
TYRION,VARYS,Undirected,5,,,114,8
SANSA,TYRION,Undirected,6,,,86,8
DAVOS,TYRION,Undirected,7,,,72,8
DAENERYS,SANSA,Undirected,8,,,71,8
ARYA,GENDRY,Undirected,9,,,70,8
ARYA,JON,Undirected,10,,,70,8
JON,SANSA,Undirected,11,,,70,8
JON,SAM,Undirected,12,,,66,8
ARYA,HOUND,Undirected,13,,,63,8
BRAN,TYRION,Undirected,14,,,55,8
ARYA,SANSA,Undirected,15,,,52,8
DAENERYS,JORAH,Undirected,16,,,51,8
GREY_WORM,JON,Undirected,17,,,50,8
JON,TORMUND,Undirected,18,,,50,8
JON,VARYS,Undirected,19,,,49,8
DAVOS,JON,Undirected,20,,,47,8
BRIENNE,TYRION,Undirected,21,,,46,8
DAENERYS,VARYS,Undirected,22,,,44,8
CERSEI,QYBURN,Undirected,23,,,41,8
BRIENNE,TORMUND,Undirected,24,,,40,8
BRONN,TYRION,Undirected,25,,,40,8
CERSEI,EURON,Undirected,26,,,40,8
GREY_WORM,TYRION,Undirected,27,,,40,8
JAIME,TORMUND,Undirected,28,,,38,8
DAENERYS,GREY_WORM,Undirected,29,,,37,8
CERSEI,DAENERYS,Undirected,30,,,36,8
BERIC,HOUND,Undirected,31,,,34,8
BRIENNE,PODRICK,Undirected,32,,,31,8
CERSEI,JAIME,Undirected,33,,,31,8
BRAN,JON,Undirected,34,,,30,8
SAM,TORMUND,Undirected,35,,,30,8
BRAN,SANSA,Undirected,36,,,28,8
JAIME,PODRICK,Undirected,37,,,28,8
BRAN,THEON,Undirected,38,,,27,8
DAVOS,GREY_WORM,Undirected,39,,,27,8
GREY_WORM,MISSANDEI,Undirected,40,,,27,8
HOUND,MOUNTAIN,Undirected,41,,,27,8
CERSEI,TYRION,Undirected,42,,,26,8
DAENERYS,SAM,Undirected,43,,,26,8
GENDRY,HOUND,Undirected,44,,,26,8
JORAH,SAM,Undirected,45,,,26,8
BERIC,TORMUND,Undirected,46,,,24,8
BRAN,JAIME,Undirected,47,,,24,8
BRIENNE,SANSA,Undirected,48,,,24,8
CERSEI,MOUNTAIN,Undirected,49,,,24,8
SAM,TYRION,Undirected,50,,,24,8
BRAN,SAM,Undirected,51,,,23,8
BRIENNE,GREY_WORM,Undirected,52,,,23,8
BRIENNE,SAM,Undirected,53,,,23,8
DAENERYS,JAIME,Undirected,54,,,23,8
DAENERYS,MISSANDEI,Undirected,55,,,23,8
GREY_WORM,SAM,Undirected,56,,,23,8
GREY_WORM,TORMUND,Undirected,57,,,23,8
ARYA,DAVOS,Undirected,58,,,22,8
ARYA,NORA,Undirected,59,,,22,8
HOUND,TORMUND,Undirected,60,,,22,8
NORA,VICKY,Undirected,61,,,22,8
SANSA,VARYS,Undirected,62,,,22,8
ARYA,BRAN,Undirected,63,,,21,8
ARYA,DAENERYS,Undirected,64,,,21,8
DAENERYS,GENDRY,Undirected,65,,,21,8
MISSANDEI,TYRION,Undirected,66,,,21,8
BRONN,QYBURN,Undirected,67,,,20,8
PODRICK,TORMUND,Undirected,68,,,20,8
DAVOS,TORMUND,Undirected,69,,,19,8
GENDRY,TORMUND,Undirected,70,,,19,8
GREY_WORM,JAIME,Undirected,71,,,19,8
JAIME,SAM,Undirected,72,,,19,8
JON,NIGHT_KING,Undirected,73,,,19,8
QYBURN,TYRION,Undirected,74,,,19,8
TORMUND,TYRION,Undirected,75,,,19,8
ARYA,BERIC,Undirected,76,,,18,8
BRIENNE,DAVOS,Undirected,77,,,18,8
GREY_WORM,SANSA,Undirected,78,,,18,8
GREY_WORM,VARYS,Undirected,79,,,18,8
JORAH,TORMUND,Undirected,80,,,18,8
PODRICK,TYRION,Undirected,81,,,18,8
DAENERYS,DAVOS,Undirected,82,,,17,8
DAVOS,SANSA,Undirected,83,,,17,8
EURON,JAIME,Undirected,84,,,17,8
GENDRY,SAM,Undirected,85,,,17,8
JORAH,LYANNA_MORMONT,Undirected,86,,,17,8
BRAN,DAENERYS,Undirected,87,,,16,8
DAENERYS,TORMUND,Undirected,88,,,16,8
EDDISON_TOLLETT,SAM,Undirected,89,,,16,8
GENDRY,GREY_WORM,Undirected,90,,,16,8
BERIC,SAM,Undirected,91,,,15,8
BRAN,GREY_WORM,Undirected,92,,,15,8
BRAN,NIGHT_KING,Undirected,93,,,15,8
MISSANDEI,VARYS,Undirected,94,,,15,8
ARYA,VICKY,Undirected,95,,,14,8
DAVOS,SAM,Undirected,96,,,14,8
DAVOS,VARYS,Undirected,97,,,14,8
HOUND,SANSA,Undirected,98,,,14,8
JAIME,JORAH,Undirected,99,,,14,8
JAIME,SANSA,Undirected,100,,,14,8
MISSANDEI,SANSA,Undirected,101,,,14,8
SANSA,YOHN_ROYCE,Undirected,102,,,14,8
ARYA,GREY_WORM,Undirected,103,,,13,8
ARYA,MELISANDRE,Undirected,104,,,13,8
BERIC,JORAH,Undirected,105,,,13,8
BRIENNE,GENDRY,Undirected,106,,,13,8
BRIENNE,JORAH,Undirected,107,,,13,8
BRONN,JAIME,Undirected,108,,,13,8
EDDISON_TOLLETT,TORMUND,Undirected,109,,,13,8
GENDRY,JAIME,Undirected,110,,,13,8
LYANNA_MORMONT,SAM,Undirected,111,,,13,8
BERIC,GREY_WORM,Undirected,112,,,12,8
CRAYAH,DIRAH,Undirected,113,,,12,8
MOUNTAIN,QYBURN,Undirected,114,,,12,8
SAM,SANSA,Undirected,115,,,12,8
SANSA,MAESTER_WOLKAN,Undirected,116,,,12,8
ARYA,TYRION,Undirected,117,,,11,8
BRAN,BRIENNE,Undirected,118,,,11,8
BRIENNE,DAENERYS,Undirected,119,,,11,8
BRIENNE,JON,Undirected,120,,,11,8
CERSEI,HARRY,Undirected,121,,,11,8
DAENERYS,THEON,Undirected,122,,,11,8
GILLY,SAM,Undirected,123,,,11,8
GREY_WORM,JORAH,Undirected,124,,,11,8
JAIME,JON,Undirected,125,,,11,8
JON,JORAH,Undirected,126,,,11,8
JON,LYANNA_MORMONT,Undirected,127,,,11,8
JON,MISSANDEI,Undirected,128,,,11,8
JORAH,MELISANDRE,Undirected,129,,,11,8
MARTHA,VARYS,Undirected,130,,,11,8
SANSA,THEON,Undirected,131,,,11,8
ARYA,SAM,Undirected,132,,,10,8
BERIC,BRIENNE,Undirected,133,,,10,8
BRONN,DAVOS,Undirected,134,,,10,8
DAENERYS,EURON,Undirected,135,,,10,8
DAENERYS,MAESTER_WOLKAN,Undirected,136,,,10,8
DAENERYS,NIGHT_KING,Undirected,137,,,10,8
DAVOS,JAIME,Undirected,138,,,10,8
DAVOS,MELISANDRE,Undirected,139,,,10,8
HOUND,JAIME,Undirected,140,,,10,8
JAIME,LYANNA_MORMONT,Undirected,141,,,10,8
JORAH,SANSA,Undirected,142,,,10,8
JORAH,TYRION,Undirected,143,,,10,8
SANSA,TORMUND,Undirected,144,,,10,8
BERIC,EDDISON_TOLLETT,Undirected,145,,,9,8
BERIC,JAIME,Undirected,146,,,9,8
BRAN,DAVOS,Undirected,147,,,9,8
BRIENNE,VARYS,Undirected,148,,,9,8
CERSEI,MISSANDEI,Undirected,149,,,9,8
DAVOS,PODRICK,Undirected,150,,,9,8
GILLY,JON,Undirected,151,,,9,8
GILLY,LITTLE_SAM,Undirected,152,,,9,8
HOUND,JORAH,Undirected,153,,,9,8
JON,LYANNA,Undirected,154,,,9,8
JORAH,VARYS,Undirected,155,,,9,8
TYRION,MAESTER_WOLKAN,Undirected,156,,,9,8
TYRION,YOHN_ROYCE,Undirected,157,,,9,8
ALYS,TYRION,Undirected,158,,,8,8
BERIC,JON,Undirected,159,,,8,8
BRAN,VARYS,Undirected,160,,,8,8
BRONN,SAM,Undirected,161,,,8,8
EDDISON_TOLLETT,JON,Undirected,162,,,8,8
EURON,YARA,Undirected,163,,,8,8
GENDRY,JORAH,Undirected,164,,,8,8
GENDRY,PODRICK,Undirected,165,,,8,8
GILLY,SANSA,Undirected,166,,,8,8
GILLY,TYRION,Undirected,167,,,8,8
GILLY,VARYS,Undirected,168,,,8,8
HOUND,MELISANDRE,Undirected,169,,,8,8
HOUND,SAM,Undirected,170,,,8,8
NIGHT_KING,THEON,Undirected,171,,,8,8
PODRICK,SAM,Undirected,172,,,8,8
THEON,YARA,Undirected,173,,,8,8
ARYA,TORMUND,Undirected,174,,,7,8
ARYA,VARYS,Undirected,175,,,7,8
BRIENNE,HOUND,Undirected,176,,,7,8
BRIENNE,LYANNA_MORMONT,Undirected,177,,,7,8
BRONN,CRAYAH,Undirected,178,,,7,8
DAENERYS,HOUND,Undirected,179,,,7,8
DAENERYS,LYANNA_MORMONT,Undirected,180,,,7,8
GENDRY,JON,Undirected,181,,,7,8
GREY_WORM,LYANNA_MORMONT,Undirected,182,,,7,8
GREY_WORM,PODRICK,Undirected,183,,,7,8
