Source,Target,Type,Id,Label,timeset,Weight
NED,ROBERT,Undirected,0,,,211
DAENERYS,JORAH,Undirected,1,,,594
JON,SAM,Undirected,2,,,415
LITTLEFINGER,NED,Undirected,3,,,118
NED,VARYS,Undirected,4,,,104
DAENERYS,DROGO,Undirected,5,,,113
ARYA,NED,Undirected,6,,,110
CATELYN,ROBB,Undirected,7,,,232
BRONN,TYRION,Undirected,8,,,389
CERSEI,NED,Undirected,9,,,100
CERSEI,ROBERT,Undirected,10,,,98
LITTLEFINGER,VARYS,Undirected,11,,,98
SHAE,TYRION,Undirected,12,,,324
CATELYN,NED,Undirected,13,,,86
JOFFREY,SANSA,Undirected,14,,,187
NED,PYCELLE,Undirected,15,,,68
DAENERYS,VISERYS,Undirected,16,,,75
SANSA,SEPTA_MORDANE,Undirected,17,,,64
TYRION,TYWIN,Undirected,18,,,306
JEOR,JON,Undirected,19,,,111
ROBB,THEON,Undirected,20,,,89
CERSEI,JOFFREY,Undirected,21,,,217
ARYA,SANSA,Undirected,22,,,280
BRAN,MAESTER_LUWIN,Undirected,23,,,84
JAIME,NED,Undirected,24,,,62
NED,SANSA,Undirected,25,,,96
BRAN,ROBB,Undirected,26,,,59
LORAS,RENLY,Undirected,27,,,73
CERSEI,JAIME,Undirected,28,,,509
DAENERYS,MIRRI_MAZ_DUUR,Undirected,29,,,45
JON,TYRION,Undirected,30,,,268
ARYA,SYRIO_FOREL,Undirected,31,,,48
JORY_CASSEL,NED,Undirected,32,,,44
JORAH,VISERYS,Undirected,33,,,43
JON,PYP,Undirected,34,,,54
CATELYN,TYRION,Undirected,35,,,54
ROS,THEON,Undirected,36,,,40
JOFFREY,NED,Undirected,37,,,56
CERSEI,SANSA,Undirected,38,,,144
GRENN,PYP,Undirected,39,,,44
CATELYN,WALDER,Undirected,40,,,53
DAENERYS,DOREAH,Undirected,41,,,54
JAIME,TYRION,Undirected,42,,,358
JAIME,TYWIN,Undirected,43,,,148
BENJEN,JON,Undirected,44,,,40
DAENERYS,IRRI,Undirected,45,,,47
GREATJON_UMBER,ROBB,Undirected,46,,,31
MORD,TYRION,Undirected,47,,,31
CATELYN,LYSA,Undirected,48,,,41
DOREAH,VISERYS,Undirected,49,,,30
