Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
NED,Ned,,78,1755,4,0.520725,0.578151,3666.756128,3
ROBERT,Robert,,54,754,4,0.508861,0.550788,1207.579096,3
DAENERYS,Daenerys,,93,3839,3,0.536,0.599502,9181.692811,0
JORAH,Jorah,,67,1756,3,0.508217,0.560945,4567.252434,0
JON,Jon,,105,4753,3,0.553719,0.619403,7817.386087,1
SAM,Sam,,78,2062,3,0.520052,0.577529,4644.023868,1
LITTLEFINGER,Petyr,,61,1661,4,0.509506,0.557007,1503.888508,3
VARYS,Varys,,69,1756,3,0.524804,0.572968,2174.406843,4
DROGO,Drogo,,16,226,4,0.392578,0.424544,536.461768,0
ARYA,Arya,,97,2791,4,0.541779,0.606343,8330.894152,2
CATELYN,Catelyn,,56,1246,3,0.508217,0.551824,2028.901074,5
ROBB,Robb,,58,1288,4,0.490842,0.542289,3867.944234,5
BRONN,Bronn,,65,1195,4,0.510801,0.561153,3291.512019,4
TYRION,Tyrion,,128,5875,3,0.579251,0.651741,10792.286074,4
CERSEI,Cersei,,86,3727,3,0.53245,0.591625,3668.065603,4
SHAE,Shae,,20,624,4,0.41875,0.453773,30.68429,4
JOFFREY,Joffrey,,68,1579,4,0.490842,0.550373,2432.725575,4
SANSA,Sansa,,101,3607,3,0.552957,0.615672,4652.385534,3
PYCELLE,Pycelle,,33,544,4,0.441758,0.484038,128.350599,4
VISERYS,Viserys,,9,215,4,0.365455,0.389925,12.588218,0
SEPTA_MORDANE,Septa Mordane,,6,95,4,0.388031,0.411899,1.113202,3
TYWIN,Tywin,,58,1499,4,0.485507,0.53835,2591.792457,4
JEOR,Jeor,,22,340,4,0.436957,0.470771,459.94253,1
THEON,Theon,,73,1706,3,0.527559,0.577944,5298.158714,5
BRAN,Bran,,73,1864,3,0.52549,0.5767,2948.382488,5
MAESTER_LUWIN,Luwin,,16,263,4,0.415289,0.447139,492.65368,5
JAIME,Jaime,,90,3316,3,0.543243,0.601161,4468.855431,4
LORAS,Loras,,35,611,4,0.447164,0.490464,389.731611,4
RENLY,Renly,,29,448,4,0.43133,0.472015,547.752614,4
MIRRI_MAZ_DUUR,Mirri Maz Dur,,5,81,4,0.352941,0.373134,0,0
SYRIO_FOREL,Syrio,,4,70,4,0.375701,0.396973,0,2
JORY_CASSEL,Jory,,8,100,4,0.39802,0.423922,27.650689,3
PYP,Pyp,,22,268,4,0.417445,0.453566,837.063019,1
ROS,Ros,,15,207,4,0.430407,0.459577,139.639418,4
GRENN,Grenn,,27,419,4,0.417012,0.457297,909.427331,1
WALDER,Walder,,23,262,4,0.425397,0.462272,1145.936091,5
DOREAH,Doreah,,10,129,4,0.35481,0.379768,407.781901,0
BENJEN,Benjen,,16,162,4,0.424051,0.454602,57.459098,5
IRRI,Irri,,9,92,4,0.354497,0.378524,6.115235,0
GREATJON_UMBER,Greatjon,,12,78,4,0.401598,0.430348,70.945433,5
MORD,Mord,,7,52,4,0.381766,0.405058,0.990647,4
LYSA,Lysa,,18,333,4,0.424498,0.457297,99.709145,3
RAKHARO,Rakharo,,8,88,4,0.353873,0.376866,2.666667,0
ROBIN,Robin,,27,232,4,0.446171,0.482587,188.268322,3
OSHA,Osha,,17,426,4,0.392962,0.425373,83.46235,5
RODRIK,Rodrik,,17,164,4,0.43133,0.462065,150.039269,5
QOTHO,Qotho,,5,57,4,0.352941,0.373134,0,0
MAESTER_AEMON,Aemon,,19,200,4,0.414006,0.447761,114.379089,1
BARRISTAN,Barristan,,22,379,4,0.41875,0.455846,232.272456,0
ILLYRIO,Illyrio,,6,54,4,0.383954,0.408167,18.299448,0
SHAGGA,Shagga,,4,35,4,0.378888,0.399876,0,4
YOREN,Yoren,,20,135,4,0.423604,0.458126,133.561271,2
ALLISER_THORNE,Allister,,23,403,4,0.38691,0.425166,444.699154,1
WINE_MERCHANT,Wine Merchant,,4,35,4,0.352632,0.371891,0.333333,0
HOUND,Sandor,,69,1454,3,0.51938,0.569652,3975.092213,2
LANCEL,Lancel,,25,221,4,0.429029,0.466418,93.884154,4
RICKON,Rickon,,24,258,4,0.429947,0.466833,601.501995,5
MARILLION,Marillion,,7,34,4,0.389535,0.413765,2.156529,4
KEVAN,Kevan,,19,154,4,0.417445,0.450871,159.660768,4
VARDIS_EGEN,Vardis,,6,39,4,0.380682,0.402985,0,4
RHAEGO,Rhaego,,4,31,4,0.352632,0.371891,0,0
JANOS,Janos,,26,266,4,0.439825,0.476575,576.472526,1
GENDRY,Gendry,,45,826,4,0.488457,0.529643,698.276989,2
HOT_PIE,Hot Pie,,14,213,4,0.39528,0.424959,84.709824,2
LOMMY_GREENHANDS,Lommy,,2,14,5,0.352014,0.368864,0,2
MERYN_TRANT,Meryn,,28,248,4,0.437432,0.47699,365.025009,4
JON_ARRYN,Jon Arryn,,13,75,4,0.399206,0.429312,21.784558,3
HODOR,Hodor,,28,448,4,0.434125,0.473881,290.518411,5
STANNIS,Stannis,,50,1142,4,0.476303,0.525705,1448.213071,1
MAGO,Mago,,2,18,4,0.349869,0.366708,0,0
MYCAH,Mycah,,4,24,4,0.386167,0.408167,0,4
TOBHO_MOTT,Tobho Mott,,2,15,5,0.354497,0.371352,0,3
RAST,Rast,,18,145,4,0.407295,0.44092,81.528038,1
OLD_NAN,Old Nan,,7,26,4,0.378531,0.402156,7.480378,5
MHAEGEN,Mhaegen,,6,23,4,0.361836,0.382463,44.95502,3
AERYS,Aerys,,22,122,4,0.453213,0.484245,194.62537,3
BAELOR,Baelor,,12,39,4,0.417012,0.445274,5.651347,4
DAREON,Dareon,,11,34,4,0.370166,0.396973,566.224316,1
STABLE_BOY,Stable Boy,,1,7,5,0.351706,0.36762,0,2
HUGH_OF_THE_VALE,Hugh of the Vale,,6,23,4,0.372567,0.394693,1.369499,3
OTHELL_YARWYCK,Othell,,13,60,4,0.377465,0.406924,78.04773,1
OTHOR,Othor,,4,15,4,0.365787,0.385987,0,1
MOUNTAIN,Gregor,,41,369,3,0.496296,0.531509,461.029007,4
TOMARD,Tomard,,3,10,5,0.358608,0.376327,0,3
GARED,Gared,,2,9,5,0.288793,0.299876,0,3
ROYCE,Royce,,5,23,4,0.361836,0.381633,115.75098,3
JONOS_BRACKEN,Jonos,,2,7,5,0.329779,0.3449,0,5
MASHA_HEDDLE,Masha,,2,8,4,0.375,0.393449,0,4
RICKARD_STARK,Rickard Stark,,4,17,4,0.370166,0.389718,2.688837,3
ILYN_PAYNE,Ilyn,,13,60,4,0.403614,0.433665,5.031238,4
