Source,Target,Type,Id,Label,timeset,Weight
3,3,Undirected,0,,,211
0,0,Undirected,1,,,594
1,1,Undirected,2,,,415
3,3,Undirected,3,,,118
3,4,Undirected,4,,,104
0,0,Undirected,5,,,113
2,3,Undirected,6,,,110
5,5,Undirected,7,,,232
4,4,Undirected,8,,,389
4,3,Undirected,9,,,100
4,3,Undirected,10,,,98
3,4,Undirected,11,,,98
4,4,Undirected,12,,,324
5,3,Undirected,13,,,86
4,3,Undirected,14,,,187
3,4,Undirected,15,,,68
0,0,Undirected,16,,,75
3,3,Undirected,17,,,64
4,4,Undirected,18,,,306
1,1,Undirected,19,,,111
5,5,Undirected,20,,,89
4,4,Undirected,21,,,217
2,3,Undirected,22,,,280
5,5,Undirected,23,,,84
4,3,Undirected,24,,,62
3,3,Undirected,25,,,96
5,5,Undirected,26,,,59
4,4,Undirected,27,,,73
4,4,Undirected,28,,,509
0,0,Undirected,29,,,45
1,4,Undirected,30,,,268
2,2,Undirected,31,,,48
3,3,Undirected,32,,,44
0,0,Undirected,33,,,43
1,1,Undirected,34,,,54
5,4,Undirected,35,,,54
4,5,Undirected,36,,,40
4,3,Undirected,37,,,56
4,3,Undirected,38,,,144
1,1,Undirected,39,,,44
5,5,Undirected,40,,,53
0,0,Undirected,41,,,54
4,4,Undirected,42,,,358
4,4,Undirected,43,,,148
5,1,Undirected,44,,,40
0,0,Undirected,45,,,47
5,5,Undirected,46,,,31
4,4,Undirected,47,,,31
5,3,Undirected,48,,,41
0,0,Undirected,49,,,30
0,0,Undirected,50,,,30
3,3,Undirected,51,,,47
3,4,Undirected,52,,,37
3,4,Undirected,53,,,30
1,1,Undirected,54,,,69
4,3,Undirected,55,,,35
5,3,Undirected,56,,,61
5,5,Undirected,57,,,153
1,3,Undirected,58,,,79
5,5,Undirected,59,,,44
5,4,Undirected,60,,,70
5,5,Undirected,61,,,28
0,0,Undirected,62,,,28
4,3,Undirected,63,,,37
1,1,Undirected,64,,,55
0,0,Undirected,65,,,27
4,3,Undirected,66,,,27
5,5,Undirected,67,,,107
5,3,Undirected,68,,,64
5,5,Undirected,69,,,26
0,3,Undirected,70,,,25
0,0,Undirected,71,,,25
1,5,Undirected,72,,,35
5,5,Undirected,73,,,61
2,4,Undirected,74,,,47
1,1,Undirected,75,,,82
3,5,Undirected,76,,,45
0,3,Undirected,77,,,27
5,4,Undirected,78,,,26
3,3,Undirected,79,,,416
4,4,Undirected,80,,,22
4,2,Undirected,81,,,22
1,1,Undirected,82,,,133
2,1,Undirected,83,,,99
0,0,Undirected,84,,,22
4,3,Undirected,85,,,23
5,1,Undirected,86,,,82
0,0,Undirected,87,,,19
2,3,Undirected,88,,,73
3,4,Undirected,89,,,27
3,4,Undirected,90,,,35
5,4,Undirected,91,,,49
1,1,Undirected,92,,,41
2,2,Undirected,93,,,38
4,4,Undirected,94,,,442
5,4,Undirected,95,,,17
0,0,Undirected,96,,,29
1,1,Undirected,97,,,43
3,4,Undirected,98,,,39
5,5,Undirected,99,,,17
3,3,Undirected,100,,,19
4,4,Undirected,101,,,20
5,5,Undirected,102,,,16
1,1,Undirected,103,,,75
2,4,Undirected,104,,,73
5,4,Undirected,105,,,21
5,4,Undirected,106,,,72
5,3,Undirected,107,,,15
1,4,Undirected,108,,,19
4,4,Undirected,109,,,200
4,4,Undirected,110,,,28
4,3,Undirected,111,,,15
0,0,Undirected,112,,,15
3,2,Undirected,113,,,15
4,4,Undirected,114,,,37
5,3,Undirected,115,,,24
5,5,Undirected,116,,,82
5,1,Undirected,117,,,16
5,3,Undirected,118,,,39
4,4,Undirected,119,,,14
4,4,Undirected,120,,,14
3,3,Undirected,121,,,14
0,4,Undirected,122,,,15
5,4,Undirected,123,,,13
4,4,Undirected,124,,,56
0,0,Undirected,125,,,17
1,3,Undirected,126,,,13
4,4,Undirected,127,,,26
5,5,Undirected,128,,,61
3,5,Undirected,129,,,20
4,3,Undirected,130,,,18
2,3,Undirected,131,,,14
2,2,Undirected,132,,,12
4,3,Undirected,133,,,26
4,4,Undirected,134,,,31
4,5,Undirected,135,,,31
3,3,Undirected,136,,,15
4,4,Undirected,137,,,23
5,5,Undirected,138,,,26
2,3,Undirected,139,,,11
5,5,Undirected,140,,,160
4,4,Undirected,141,,,18
5,5,Undirected,142,,,11
5,4,Undirected,143,,,11
5,5,Undirected,144,,,11
0,0,Undirected,145,,,11
4,2,Undirected,146,,,13
3,4,Undirected,147,,,30
3,4,Undirected,148,,,13
4,3,Undirected,149,,,14
4,1,Undirected,150,,,54
5,5,Undirected,151,,,16
3,4,Undirected,152,,,16
1,1,Undirected,153,,,18
2,3,Undirected,154,,,15
5,3,Undirected,155,,,10
0,0,Undirected,156,,,10
0,0,Undirected,157,,,10
2,3,Undirected,158,,,14
2,4,Undirected,159,,,50
4,1,Undirected,160,,,29
4,5,Undirected,161,,,46
1,1,Undirected,162,,,10
4,4,Undirected,163,,,10
0,0,Undirected,164,,,10
4,3,Undirected,165,,,20
3,5,Undirected,166,,,14
3,1,Undirected,167,,,21
3,3,Undirected,168,,,10
1,1,Undirected,169,,,10
1,1,Undirected,170,,,9
2,4,Undirected,171,,,34
5,4,Undirected,172,,,33
5,5,Undirected,173,,,11
4,4,Undirected,174,,,95
0,0,Undirected,175,,,9
0,4,Undirected,176,,,9
0,0,Undirected,177,,,11
1,1,Undirected,178,,,9
3,3,Undirected,179,,,9
3,3,Undirected,180,,,9
4,4,Undirected,181,,,9
4,4,Undirected,182,,,9
5,3,Undirected,183,,,28
3,4,Undirected,184,,,16
5,4,Undirected,185,,,9
4,4,Undirected,186,,,9
3,3,Undirected,187,,,12
4,3,Undirected,188,,,8
4,3,Undirected,189,,,103
4,5,Undirected,190,,,14
0,0,Undirected,191,,,8
1,1,Undirected,192,,,8
2,4,Undirected,193,,,17
0,0,Undirected,194,,,8
5,5,Undirected,195,,,10
